fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,alcohol
6.6,0.24,0.28,6.7,0.032,3.295836866004329,3.13,0.32,12.3
8.0,0.2,0.44,1.0,0.057,3.2188758248682006,3.09,0.32,11.2
6.4,0.17,0.34,1.5,0.09300000000000001,3.784189633918261,3.25,0.49,9.6
7.2,0.34,0.2,5.8,0.062,3.970291913552122,3.17,0.44,9.8
7.8,0.53,0.04,1.7,0.076,2.8903717578961645,3.33,0.56,10.0
6.5,0.27,0.26,8.2,0.042,3.091042453358316,3.43,0.64,9.8
7.1,0.59,0.01,2.3,0.08,3.332204510175204,3.42,0.58,10.7
6.5,0.29,0.42,10.6,0.042,4.204692619390966,3.24,0.53,9.5
8.1,0.73,0.0,2.5,0.081,2.5649493574615367,3.38,0.46,9.6
7.3,0.2,0.39,2.3,0.048,3.2188758248682006,2.94,0.35,12.0
7.7,0.25,0.3,7.8,0.038,4.219507705176107,3.1,0.5,10.1
7.1,0.66,0.0,2.4,0.052000000000000005,1.9459101490553132,3.35,0.66,12.7
5.2,0.34,0.0,1.8,0.05,3.332204510175204,3.68,0.79,14.0
11.9,0.39,0.69,2.8,0.095,2.8903717578961645,3.1,0.61,10.8
7.8,0.21,0.49,1.35,0.052000000000000005,1.9459101490553132,3.15,0.28,11.4
6.9,0.49,0.19,1.7,0.079,2.6390573296152584,3.38,0.64,9.8
11.9,0.38,0.51,2.0,0.121,2.0794415416798357,3.24,0.76,10.4
6.6,0.18,0.26,17.3,0.051,2.8903717578961645,3.0,0.43,9.4
7.8,0.26,0.49,3.2,0.027000000000000003,3.367295829986474,3.03,0.32,11.3
5.2,0.185,0.22,1.0,0.03,3.871201010907891,3.55,0.44,10.15
7.7,0.28,0.33,6.7,0.037000000000000005,3.4965075614664802,3.39,0.62,10.7
6.4,0.27,0.19,1.9,0.085,3.091042453358316,3.49,0.64,9.5
7.0,0.16,0.25,14.3,0.044000000000000004,3.332204510175204,2.91,0.46,9.2
6.1,0.26,0.51,2.2,0.05,4.127134385045092,3.08,0.6,9.8
5.9,0.23,0.28,8.6,0.046,3.6375861597263857,3.23,0.53,10.6
5.8,0.3,0.38,4.9,0.039,3.1354942159291497,3.23,0.58,13.1
6.9,0.16,0.3,9.6,0.057,3.9318256327243257,3.39,0.38,9.6
6.2,0.19,0.29,4.3,0.045,3.5263605246161616,3.18,0.42,9.3
5.9,0.22,0.38,1.3,0.046,3.2188758248682006,3.2,0.47,10.0
6.6,0.29,0.29,1.8,0.036000000000000004,3.6635616461296463,3.08,0.42,13.7
9.6,0.33,0.52,2.2,0.07400000000000001,2.6390573296152584,3.36,0.76,12.4
6.0,0.2,0.25,2.0,0.040999999999999995,3.4339872044851463,3.27,0.56,11.1
8.3,0.2,0.35,0.9,0.05,2.5649493574615367,3.13,0.38,10.5
7.2,0.23,0.38,14.3,0.057999999999999996,4.02535169073515,3.09,0.44,9.0
6.2,0.33,0.41,16.8,0.037000000000000005,4.07753744390572,3.25,0.57,9.4
8.6,0.49,0.28,1.9,0.11,3.044522437723423,2.93,1.95,9.9
7.1,0.37,0.3,6.2,0.04,3.912023005428146,3.17,0.27,13.6
7.2,0.23,0.38,14.3,0.057999999999999996,4.02535169073515,3.09,0.44,9.0
9.0,0.4,0.43,2.4,0.068,3.4011973816621555,3.2,0.6,12.2
7.6,0.48,0.28,10.4,0.049,4.060443010546419,3.24,0.45,9.3
5.7,0.12,0.26,5.5,0.034,3.091042453358316,3.09,0.57,9.9
7.4,0.5,0.47,2.0,0.086,3.091042453358316,3.36,0.57,9.1
7.5,0.52,0.4,2.2,0.06,2.5649493574615367,3.26,0.64,11.8
8.5,0.44,0.5,1.9,0.369,2.772588722239781,3.01,1.1,9.4
7.5,0.24,0.31,13.1,0.05,3.295836866004329,3.05,0.53,9.1
6.7,0.24,0.41,9.4,0.04,3.912023005428146,3.12,0.61,9.9
7.9,0.34,0.44,6.5,0.027000000000000003,3.871201010907891,2.96,0.37,12.5
6.7,0.46,0.24,1.7,0.077,2.9444389791664403,3.39,0.6,10.6
6.3,0.29,0.29,3.3,0.037000000000000005,3.4965075614664802,3.17,0.36,12.8
7.1,0.46,0.14,2.8,0.076,2.772588722239781,3.36,0.49,10.7
7.4,0.55,0.19,1.8,0.08199999999999999,2.772588722239781,3.49,0.68,10.5
5.7,0.18,0.26,2.2,0.023,3.091042453358316,3.07,0.54,12.3
8.3,0.25,0.33,2.5,0.053,2.5649493574615367,2.89,0.48,9.5
6.0,0.64,0.05,1.9,0.066,2.302585092994046,3.52,0.78,10.6
11.7,0.45,0.63,2.2,0.073,2.0794415416798357,3.21,0.69,10.9
7.4,0.21,0.3,8.1,0.047,2.6390573296152584,3.12,0.35,10.5
5.6,0.28,0.28,4.2,0.044000000000000004,3.970291913552122,3.35,0.44,10.7
6.0,0.42,0.19,2.0,0.075,3.1354942159291497,3.39,0.78,10.0
6.1,0.22,0.38,2.8,0.14400000000000002,2.5649493574615367,2.95,0.64,11.4
11.6,0.47,0.44,1.6,0.147,3.6109179126442243,3.38,0.86,9.9
6.9,0.39,0.4,4.6,0.022000000000000002,1.791759469228055,3.31,0.37,12.6
8.5,0.46,0.31,2.25,0.078,3.4965075614664802,3.33,0.54,9.8
